percent_of_common_vertices	label_name	quantity_of_common_vertices	quantity_of_all_vertices_in_label	vertices_MNE_indices_dict
100.0	G_temp_sup-G_T_transv-lh	13	13	{110882, 125284, 134724, 68170, 141453, 104045, 125295, 73583, 155283, 141428, 134710, 94201, 125310}
88.46153846153845	S_circular_insula_inf-lh	46	52	{125312, 38144, 79233, 155399, 20744, 155529, 20749, 155407, 68240, 3094, 161180, 20765, 96542, 38178, 107427, 38181, 18726, 155561, 59059, 92469, 134839, 85184, 51394, 6340, 85192, 15051, 132300, 35789, 9298, 20697, 155616, 85217, 125410, 134753, 95332, 148331, 43371, 51437, 51439, 12658, 111097, 12666, 73595, 27389, 85246, 100863}
88.23529411764706	S_temporal_transverse-lh	15	17	{57274, 25153, 6786, 110890, 141869, 10769, 3090, 110868, 68500, 141878, 38077, 104024, 60954, 104029, 125279}
86.15384615384616	Lat_Fis-post-lh	56	65	{128, 115714, 48899, 8322, 27522, 58631, 27527, 104201, 85773, 42127, 33553, 104212, 85783, 18297, 57245, 47646, 58622, 104224, 73889, 85796, 104232, 73896, 146345, 9392, 135088, 141747, 106676, 25141, 47670, 64442, 16955, 146750, 43456, 117569, 54090, 155343, 85072, 64473, 106458, 1884, 5980, 125660, 64356, 155369, 73834, 100970, 146797, 125677, 64367, 141812, 96502, 125688, 77945, 24058, 29309, 73854}
79.3103448275862	G_and_S_subcentral-lh	46	58	{106496, 128898, 121986, 65797, 106504, 131720, 32393, 35213, 138511, 146703, 121873, 71186, 10260, 56343, 102564, 14255, 81071, 32431, 56373, 77878, 8759, 16057, 13500, 81084, 42566, 102604, 71117, 138574, 108624, 102610, 92631, 118872, 77912, 63575, 65784, 6242, 18276, 92644, 18284, 23533, 65776, 121969, 116339, 58613, 98038, 121976}
68.57142857142857	G_temp_sup-Lateral-lh	48	70	{110852, 51717, 84998, 20615, 85895, 61323, 54155, 51725, 155279, 135185, 85010, 20628, 134684, 111517, 64544, 98849, 142115, 85924, 105001, 134700, 86060, 110897, 85937, 125239, 85945, 86074, 105019, 104383, 161217, 155127, 38468, 125766, 5069, 3155, 10836, 43479, 55896, 12635, 17380, 94311, 7915, 38508, 55538, 74101, 125301, 69750, 110845, 24318}
65.11627906976744	G_temp_sup-Plan_tempo-lh	28	43	{68481, 111489, 125702, 27538, 125720, 68506, 96669, 55462, 15142, 45865, 125747, 15158, 15162, 31035, 125759, 85954, 135109, 5062, 51667, 38489, 111450, 20958, 117607, 156264, 85991, 68459, 51694, 156410}
63.63636363636363	S_circular_insula_sup-lh	49	77	{25098, 129931, 18189, 110990, 64398, 272, 48914, 141587, 14226, 121880, 3097, 106522, 44955, 77723, 129947, 141472, 61089, 146470, 33448, 33451, 48943, 65711, 11826, 77618, 25908, 48949, 119986, 125368, 42555, 131644, 106565, 35141, 73673, 23242, 24011, 45772, 33487, 31057, 57172, 16852, 13781, 98527, 16864, 77671, 68209, 106484, 85370, 121851, 99325}
56.25	G_Ins_lg_and_S_cent_ins-lh	9	16	{20685, 6734, 68217, 155448, 24022, 4984, 55385, 9306, 134875}
50.0	S_temporal_sup-lh	85	170	{43537, 86550, 102936, 96793, 12825, 127523, 24100, 136751, 9269, 71736, 157241, 126014, 31298, 127555, 86597, 68681, 23118, 3151, 92241, 86610, 85, 126043, 47727, 126076, 148612, 126086, 93830, 69770, 24718, 113814, 148631, 69785, 97436, 89756, 113822, 11428, 97446, 51879, 97448, 51887, 97461, 89784, 51900, 89810, 22232, 21210, 22235, 89825, 22244, 52971, 142068, 142079, 101120, 63744, 111876, 44295, 135432, 111891, 135448, 161057, 9511, 28986, 28989, 2890, 38751, 16223, 15209, 16245, 15222, 74109, 156547, 101768, 104352, 139171, 3495, 139188, 157118, 157132, 139213, 157139, 139220, 139229, 157152, 139237, 157176}
49.2063492063492	G_temporal_middle-lh	31	63	{161153, 122755, 24330, 42765, 62606, 122767, 35856, 99729, 22295, 35865, 66330, 157083, 66338, 157093, 132391, 148648, 113831, 26289, 35900, 122706, 148571, 136796, 59109, 54757, 79592, 8553, 161388, 54765, 79469, 122736, 148723}
29.629629629629623	S_temporal_inf-lh	8	27	{105163, 94577, 35922, 64983, 10425, 79581, 114270, 148703}
26.31578947368421	G_front_inf-Opercular-lh	10	38	{102592, 102601, 32401, 48959, 93718, 14239, 48954, 37851, 92638, 11839}
25.0	G_insular_short-lh	5	20	{85384, 85355, 155727, 141557, 73657}
23.58490566037736	G_pariet_inf-Supramar-lh	25	106	{111363, 77828, 135043, 120073, 38411, 15122, 15126, 141724, 131746, 9385, 141737, 131762, 43445, 117560, 125634, 125638, 27516, 146640, 121938, 125651, 85717, 121951, 77921, 38377, 35196}
17.647058823529413	G_temp_sup-Plan_polar-lh	3	17	{98840, 161201, 51388}
9.090909090909092	G_temporal_inf-lh	6	66	{48195, 65000, 118317, 120846, 65012, 70041}
