percent_of_common_vertices	label_name	quantity_of_common_vertices	quantity_of_all_vertices_in_label	vertices_MNE_indices_dict
73.68421052631578	S_circular_insula_inf-rh	28	38	{119045, 159494, 1421, 97806, 56094, 115364, 163242, 28075, 159534, 30127, 88630, 79159, 45112, 22841, 114874, 163254, 10559, 91584, 139072, 56516, 53576, 95309, 52565, 70364, 21867, 126964, 58998, 113018}
62.5	G_temp_sup-G_T_transv-rh	10	16	{127008, 34369, 101536, 88650, 8011, 159658, 128397, 144126, 105370, 159646}
62.96296296296296	S_circular_insula_sup-rh	34	54	{45569, 37382, 96137, 153097, 23948, 152978, 60696, 117145, 20122, 83226, 140703, 117162, 30763, 133933, 124461, 60339, 30773, 124469, 83129, 153019, 67900, 20037, 60361, 153036, 67917, 83164, 133982, 83175, 67561, 140650, 153321, 153078, 27004, 153085}
40.0	G_front_inf-Opercular-rh	18	45	{117155, 30756, 96166, 109961, 140729, 30797, 83418, 37459, 45588, 30804, 4790, 3029, 23896, 134073, 10714, 93021, 37470, 96159}
37.5	G_and_S_subcentral-rh	21	56	{153484, 83476, 45597, 109984, 83489, 50856, 153130, 83499, 60459, 153517, 124591, 83249, 83506, 153530, 60482, 153544, 50895, 134100, 83548, 134111, 2162}
33.33333333333333	G_Ins_lg_and_S_cent_ins-rh	5	15	{1509, 79082, 63699, 88539, 139006}
33.33333333333333	Lat_Fis-post-rh	27	81	{88836, 115850, 35595, 113169, 74776, 6041, 88611, 113062, 21930, 28085, 113077, 28091, 142908, 28095, 104774, 46158, 88782, 54230, 159575, 159832, 159843, 142951, 130411, 25326, 43762, 118010, 69373}
25.0	G_temp_sup-Lateral-rh	16	64	{160, 22872, 10181, 63207, 75817, 163370, 91817, 121003, 32078, 163408, 3345, 17587, 98966, 57912, 114941, 130846}
21.022727272727277	S_temporal_sup-rh	37	176	{137600, 163464, 40840, 53643, 63249, 63251, 59285, 22935, 137623, 63257, 8603, 102174, 49696, 70435, 22947, 137638, 63271, 12076, 163385, 94656, 48321, 149058, 107841, 163396, 15812, 75848, 149065, 144213, 10198, 13401, 10205, 26350, 2545, 18935, 79865, 63227, 132607}
16.666666666666664	G_temp_sup-Plan_polar-rh	3	18	{22882, 99644, 28703}
15.492957746478872	G_temporal_middle-rh	11	71	{34400, 359, 121036, 44749, 93582, 75889, 107890, 75921, 105428, 36083, 15805}
10.0	G_insular_short-rh	1	10	{84235}
