percent_of_common_vertices	label_name	quantity_of_common_vertices	quantity_of_all_vertices_in_label	vertices_MNE_indices_dict
57.14285714285714	S_circular_insula_sup-lh	44	77	{129931, 18189, 110990, 64398, 272, 48914, 141587, 14226, 121880, 3097, 106522, 44955, 77723, 129947, 141472, 61089, 146470, 33448, 48943, 65711, 11826, 77618, 25908, 48949, 119986, 42555, 131644, 106565, 35141, 73673, 23242, 24011, 45772, 57172, 16852, 13781, 141532, 98527, 16864, 77671, 106484, 85370, 121851, 99325}
39.6551724137931	G_and_S_subcentral-lh	23	58	{106496, 128898, 65797, 106504, 131720, 121873, 71186, 56343, 102564, 14255, 32431, 56373, 16057, 13500, 71117, 138574, 102610, 92631, 118872, 77912, 63575, 23533, 116339}
36.53846153846153	S_circular_insula_inf-lh	19	52	{79233, 20744, 155529, 20749, 96542, 107427, 155561, 92469, 51394, 6340, 85192, 132300, 85217, 95332, 51437, 51439, 12658, 12666, 85246}
31.25	G_Ins_lg_and_S_cent_ins-lh	5	16	{6734, 24022, 155448, 55385, 134875}
30.76923076923077	G_temp_sup-G_T_transv-lh	4	13	{110882, 125310, 134710, 125295}
30.76923076923077	Lat_Fis-post-lh	20	65	{115714, 48899, 104201, 57245, 146345, 25136, 64442, 146750, 20681, 85072, 106458, 5980, 1884, 100960, 130028, 146797, 18297, 10362, 29309, 73854}
26.31578947368421	G_front_inf-Opercular-lh	10	38	{102592, 102601, 32401, 48959, 93718, 14239, 48954, 37851, 92638, 11839}
24.285714285714285	G_temp_sup-Lateral-lh	17	70	{98849, 84998, 20615, 7915, 134700, 155279, 110897, 85010, 125301, 69750, 125239, 55896, 86074, 12635, 134684, 110845, 24318}
20.0	G_insular_short-lh	4	20	{85384, 73657, 85355, 141557}
18.235294117647054	S_temporal_sup-lh	31	170	{156547, 44295, 101768, 69770, 24718, 113814, 89756, 97436, 113822, 127523, 3495, 97448, 136751, 9269, 97461, 71736, 127555, 139213, 23118, 92241, 89810, 139220, 85, 22232, 22235, 139229, 89825, 22244, 139237, 52971, 16245}
17.647058823529413	S_temporal_transverse-lh	3	17	{3090, 110890, 38077}
11.76470588235294	G_temp_sup-Plan_polar-lh	2	17	{98840, 51388}
9.523809523809524	G_temporal_middle-lh	6	63	{66338, 54757, 24330, 54765, 66353, 136796}
4.716981132075472	G_pariet_inf-Supramar-lh	5	106	{77921, 120073, 77840, 146640, 131762}
2.3255813953488373	G_temp_sup-Plan_tempo-lh	1	43	{31035}
