percent_of_common_vertices	label_name	quantity_of_common_vertices	quantity_of_all_vertices_in_label	vertices_MNE_indices_dict
100.0	G_temp_sup-G_T_transv-rh	16	16	{127008, 34369, 101536, 101543, 88650, 8011, 159658, 128397, 144126, 9777, 39572, 94644, 52597, 93368, 105370, 159646}
100.0	S_temporal_transverse-rh	11	11	{52608, 113123, 65096, 39656, 39645, 28140, 88878, 136303, 52660, 62203, 159933}
97.53086419753086	Lat_Fis-post-rh	79	81	{74755, 113162, 113169, 74776, 159774, 88611, 142908, 159805, 127042, 113218, 159812, 9800, 75, 74830, 159822, 127056, 46158, 159828, 159832, 142936, 13916, 74848, 159843, 15460, 142951, 127090, 78968, 136323, 136328, 101513, 115850, 115861, 143013, 39590, 33959, 136364, 88750, 33967, 88756, 101568, 88782, 49364, 88789, 25326, 120558, 25330, 43762, 42229, 42232, 118010, 69373, 107268, 88836, 43783, 35595, 13069, 62236, 104774, 69452, 17235, 159575, 104791, 104798, 130411, 47993, 52612, 130444, 21901, 6041, 6043, 21923, 113062, 21930, 28085, 113077, 28091, 28095, 54230, 159735}
86.8421052631579	S_circular_insula_inf-rh	33	38	{119045, 159494, 1421, 97806, 56094, 115364, 163242, 28075, 159534, 30127, 88630, 79159, 45112, 22841, 114874, 163254, 10559, 91584, 139072, 163136, 95300, 56516, 53576, 21836, 95309, 52565, 102875, 70364, 21867, 126964, 58998, 113018, 79099}
81.25	G_temp_sup-Lateral-rh	52	64	{15489, 70402, 55811, 136459, 69517, 3345, 88978, 98966, 43803, 39709, 130846, 98974, 160, 127138, 39717, 75817, 163370, 91817, 121003, 127152, 128432, 17587, 160055, 57912, 62277, 10181, 79816, 127177, 136394, 32078, 163408, 9809, 127184, 13395, 159953, 143060, 22872, 9816, 23388, 159964, 95452, 42719, 40801, 91746, 63207, 163581, 18924, 21998, 113266, 159988, 114941, 136447}
78.57142857142857	G_and_S_subcentral-rh	44	56	{78848, 5377, 9096, 153484, 14355, 26132, 83476, 54679, 95255, 45597, 49311, 109984, 83489, 50856, 153130, 83499, 60459, 153517, 32558, 124591, 83249, 83506, 11954, 153396, 83513, 153530, 66117, 107205, 12487, 153544, 50895, 124623, 20178, 147923, 134100, 78804, 50905, 83548, 24669, 134111, 15457, 147814, 2162, 136306}
75.92592592592592	S_circular_insula_sup-rh	41	54	{45569, 152961, 37382, 96137, 153097, 23948, 152978, 117145, 20122, 83226, 133915, 140703, 117162, 30763, 133933, 60717, 124461, 60339, 20021, 30773, 124469, 83129, 153019, 67900, 20037, 27209, 60361, 153036, 67917, 37327, 83164, 133982, 83175, 67561, 140650, 153321, 83182, 153078, 140667, 27004, 153085}
61.29032258064516	G_temp_sup-Plan_tempo-rh	19	31	{42241, 17282, 74883, 13076, 118048, 88992, 3236, 136373, 143036, 159937, 93385, 113236, 143078, 15473, 69489, 15477, 74871, 57594, 47995}
60.0	G_Ins_lg_and_S_cent_ins-rh	9	15	{37314, 1509, 124390, 37320, 79082, 63699, 88539, 84252, 139006}
53.333333333333336	G_front_inf-Opercular-rh	24	45	{16649, 109961, 20115, 45588, 96159, 117155, 30756, 7589, 96166, 140718, 4784, 4790, 140729, 134073, 30797, 37459, 30804, 3029, 153301, 23896, 10714, 83418, 93021, 37470}
53.52112676056338	G_temporal_middle-rh	38	71	{91140, 128137, 93582, 92049, 75921, 3351, 62973, 53415, 144298, 98987, 97710, 162863, 63023, 42811, 15805, 116038, 75852, 46544, 57940, 17620, 105428, 70487, 48343, 91098, 34400, 91108, 118524, 359, 75880, 163694, 75889, 107890, 36083, 1397, 6390, 65146, 92028, 2557}
50.0	S_temporal_sup-rh	88	176	{18960, 89109, 128533, 97304, 49696, 39480, 163385, 79935, 149058, 163396, 75848, 149065, 39502, 97871, 23128, 13401, 90, 103011, 139381, 162430, 149122, 163464, 162443, 14480, 159392, 48321, 163530, 163542, 91865, 71906, 26350, 63227, 63249, 63251, 63257, 102174, 91935, 63265, 70435, 63271, 12076, 39734, 63808, 107841, 90951, 158024, 114511, 144213, 2906, 10591, 115054, 62328, 119167, 137600, 40840, 53643, 119182, 97679, 66453, 59285, 22935, 137623, 88985, 8603, 66461, 22947, 40868, 137638, 160171, 53676, 137646, 94656, 15812, 132549, 99786, 10198, 126936, 10205, 89065, 49647, 2545, 52725, 18934, 18935, 1528, 79865, 22012, 132607}
30.76923076923077	S_temporal_inf-rh	8	26	{75938, 57959, 97899, 91412, 105463, 99001, 144348, 57949}
21.36752136752137	G_pariet_inf-Supramar-rh	25	117	{99586, 57612, 46877, 54691, 74919, 6312, 78889, 147879, 49324, 6317, 32566, 58937, 18619, 58946, 147912, 122442, 18639, 66133, 71510, 147928, 138969, 132189, 55777, 147940, 122481}
20.0	G_insular_short-rh	2	10	{84235, 84197}
16.666666666666664	G_temp_sup-Plan_polar-rh	3	18	{22882, 99644, 28703}
5.263157894736842	S_interm_prim-Jensen-rh	1	19	{88379}
