percent_of_common_vertices	label_name	quantity_of_common_vertices	quantity_of_all_vertices_in_label	vertices_MNE_indices_dict
84.61538461538461	G_temp_sup-G_T_transv-lh	11	13	{110882, 125284, 134724, 68170, 141453, 125295, 73583, 155283, 134710, 94201, 125310}
60.3448275862069	G_and_S_subcentral-lh	35	58	{106496, 128898, 121986, 65797, 106504, 131720, 32393, 138511, 146703, 121873, 71186, 56343, 102564, 14255, 32431, 56373, 77878, 16057, 13500, 42566, 71117, 138574, 102610, 92631, 118872, 77912, 63575, 65784, 18276, 18284, 23533, 121969, 116339, 58613, 121976}
58.44155844155844	S_circular_insula_sup-lh	45	77	{25098, 129931, 18189, 110990, 64398, 272, 48914, 141587, 14226, 121880, 3097, 106522, 44955, 77723, 129947, 141472, 146470, 33448, 33451, 48943, 65711, 11826, 77618, 25908, 48949, 119986, 125368, 42555, 131644, 106565, 35141, 23242, 24011, 45772, 31057, 57172, 16852, 13781, 98527, 16864, 77671, 106484, 85370, 121851, 99325}
42.30769230769231	S_circular_insula_inf-lh	22	52	{79233, 155399, 20744, 20749, 96542, 38178, 107427, 38181, 155561, 92469, 51394, 6340, 85192, 15051, 132300, 20697, 85217, 95332, 43371, 51439, 12666, 85246}
35.294117647058826	S_temporal_transverse-lh	6	17	{110890, 10769, 3090, 68500, 141878, 38077}
25.0	G_Ins_lg_and_S_cent_ins-lh	4	16	{4984, 55385, 155448, 6734}
25.71428571428571	G_temp_sup-Lateral-lh	18	70	{98849, 43479, 84998, 20615, 7915, 134700, 155279, 110897, 85010, 125301, 69750, 125239, 55896, 86074, 12635, 134684, 110845, 24318}
24.615384615384617	Lat_Fis-post-lh	16	65	{106458, 8322, 48899, 58631, 146345, 20681, 155369, 18297, 85072, 58622, 106676, 96502, 77945, 64442, 1884, 146750}
23.684210526315788	G_front_inf-Opercular-lh	9	38	{102592, 102601, 32401, 48959, 93718, 48954, 37851, 92638, 11839}
18.823529411764707	S_temporal_sup-lh	32	170	{156547, 148612, 44295, 24718, 113814, 102936, 97436, 139171, 9511, 97448, 3495, 9269, 97461, 71736, 28986, 28989, 127555, 139213, 23118, 92241, 89810, 139220, 85, 22232, 21210, 22235, 139229, 89825, 22244, 139237, 52971, 16245}
15.0	G_insular_short-lh	3	20	{85384, 85355, 141557}
11.76470588235294	G_temp_sup-Plan_polar-lh	2	17	{98840, 51388}
6.976744186046512	G_temp_sup-Plan_tempo-lh	3	43	{68506, 31035, 125759}
4.716981132075472	G_pariet_inf-Supramar-lh	5	106	{77921, 131746, 77840, 131762, 35196}
1.5873015873015872	G_temporal_middle-lh	1	63	{54757}
