onset	duration	trial_type	value	sample
4.175	0.0	dv/o	3	4175
5.671	0.0	rv/o	9	5671
7.058	0.0	mr/2	11	7058
8.559	0.0	rv/o	9	8559
10.006	0.0	mp/1	4	10006
11.431	0.0	mr/3	12	11431
12.947	0.0	dv/i	2	12947
14.386	0.0	mp/2	5	14386
15.999	0.0	mp/3	6	15999
17.471	0.0	rv/a	7	17471
19.088	0.0	dv/o	3	19088
20.588	0.0	mr/2	11	20588
22.147	0.0	mp/1	4	22147
23.659	0.0	rv/o	9	23659
25.19	0.0	mr/1	10	25190
26.639	0.0	mp/2	5	26639
27.972	0.0	mr/2	11	27972
29.373	0.0	rv/a	7	29373
30.875	0.0	mr/3	12	30875
32.487	0.0	mp/1	4	32487
33.816	0.0	mr/2	11	33816
35.364	0.0	mp/2	5	35364
36.885	0.0	mr/2	11	36885
38.413	0.0	mp/1	4	38413
39.774	0.0	dv/o	3	39774
41.168	0.0	rv/o	9	41168
42.782	0.0	dv/i	2	42782
44.32	0.0	rv/o	9	44320
45.74	0.0	dv/i	2	45740
47.348	0.0	mp/3	6	47348
48.724	0.0	mp/2	5	48724
50.16	0.0	mr/1	10	50160
51.724	0.0	dv/a	1	51724
53.181	0.0	dv/o	3	53181
54.556	0.0	mp/1	4	54556
55.933	0.0	mr/3	12	55933
57.293	0.0	mr/2	11	57293
58.774	0.0	mp/3	6	58774
60.35	0.0	mr/3	12	60350
61.695	0.0	rv/i	8	61695
63.231	0.0	mr/1	10	63231
64.848	0.0	mp/2	5	64848
66.286	0.0	dv/o	3	66286
67.824	0.0	dv/a	1	67824
69.413	0.0	mp/3	6	69413
71.015	0.0	mp/3	6	71015
72.383	0.0	rv/i	8	72383
73.914	0.0	mp/3	6	73914
75.357	0.0	mr/2	11	75357
76.955	0.0	mp/2	5	76955
78.372	0.0	mp/1	4	78372
79.838	0.0	dv/a	1	79838
81.228	0.0	rv/a	7	81228
82.728	0.0	mr/2	11	82728
84.297	0.0	dv/o	3	84297
85.804	0.0	rv/i	8	85804
87.335	0.0	dv/i	2	87335
88.713	0.0	rv/i	8	88713
90.271	0.0	dv/o	3	90271
91.738	0.0	mr/3	12	91738
93.147	0.0	mp/2	5	93147
94.683	0.0	mr/1	10	94683
96.15	0.0	mr/1	10	96150
97.722	0.0	rv/i	8	97722
99.165	0.0	mr/3	12	99165
100.693	0.0	rv/a	7	100693
102.19	0.0	mr/3	12	102190
103.582	0.0	mr/3	12	103582
105.09	0.0	rv/a	7	105090
106.518	0.0	dv/a	1	106518
107.886	0.0	mr/2	11	107886
109.208	0.0	rv/i	8	109208
110.7	0.0	rv/o	9	110700
112.128	0.0	mp/3	6	112128
113.586	0.0	mr/3	12	113586
115.163	0.0	mr/3	12	115163
116.627	0.0	mp/2	5	116627
118.094	0.0	mr/3	12	118094
119.571	0.0	mp/3	6	119571
121.031	0.0	mp/2	5	121031
122.411	0.0	rv/i	8	122411
123.78	0.0	dv/o	3	123780
125.393	0.0	mr/3	12	125393
126.942	0.0	dv/o	3	126942
128.296	0.0	mp/2	5	128296
129.656	0.0	mp/1	4	129656
131.078	0.0	dv/a	1	131078
132.513	0.0	mp/1	4	132513
133.961	0.0	mr/1	10	133961
135.385	0.0	mp/3	6	135385
136.84	0.0	mp/2	5	136840
138.188	0.0	mp/1	4	138188
139.723	0.0	mp/2	5	139723
141.274	0.0	mp/1	4	141274
142.774	0.0	dv/i	2	142774
144.235	0.0	mp/2	5	144235
145.822	0.0	mr/1	10	145822
147.182	0.0	rv/a	7	147182
148.691	0.0	mr/3	12	148691
150.021	0.0	mp/3	6	150021
151.551	0.0	mr/3	12	151551
153.045	0.0	dv/o	3	153045
154.436	0.0	dv/o	3	154436
155.918	0.0	mp/3	6	155918
157.244	0.0	rv/a	7	157244
158.749	0.0	dv/i	2	158749
160.288	0.0	rv/a	7	160288
161.714	0.0	rv/o	9	161714
163.295	0.0	mp/3	6	163295
164.642	0.0	mr/3	12	164642
166.048	0.0	mr/1	10	166048
167.401	0.0	mp/3	6	167401
168.913	0.0	dv/a	1	168913
170.327	0.0	mr/1	10	170327
171.726	0.0	mr/3	12	171726
173.159	0.0	dv/o	3	173159
174.588	0.0	mp/2	5	174588
176.159	0.0	mp/3	6	176159
177.542	0.0	dv/a	1	177542
178.94	0.0	mp/3	6	178940
180.393	0.0	rv/a	7	180393
181.769	0.0	dv/i	2	181769
183.378	0.0	rv/i	8	183378
184.814	0.0	mr/2	11	184814
186.17	0.0	dv/i	2	186170
187.784	0.0	dv/a	1	187784
189.382	0.0	mp/3	6	189382
190.897	0.0	mr/1	10	190897
192.343	0.0	mp/2	5	192343
193.95	0.0	dv/a	1	193950
195.378	0.0	rv/o	9	195378
196.822	0.0	rv/i	8	196822
198.342	0.0	dv/a	1	198342
199.815	0.0	rv/i	8	199815
201.426	0.0	dv/o	3	201426
203.04	0.0	rv/i	8	203040
204.547	0.0	mp/1	4	204547
206.097	0.0	dv/i	2	206097
207.705	0.0	mr/2	11	207705
209.205	0.0	rv/o	9	209205
210.747	0.0	mr/2	11	210747
212.326	0.0	mp/2	5	212326
213.777	0.0	mp/1	4	213777
215.303	0.0	mr/3	12	215303
216.767	0.0	mr/1	10	216767
218.095	0.0	mr/1	10	218095
219.682	0.0	mr/3	12	219682
221.077	0.0	mp/3	6	221077
222.603	0.0	rv/i	8	222603
224.053	0.0	rv/a	7	224053
225.669	0.0	rv/o	9	225669
227.058	0.0	dv/i	2	227058
228.611	0.0	rv/i	8	228611
230.027	0.0	dv/o	3	230027
231.57	0.0	rv/i	8	231570
233.146	0.0	mr/3	12	233146
234.728	0.0	dv/a	1	234728
236.272	0.0	dv/a	1	236272
237.779	0.0	mp/2	5	237779
239.275	0.0	rv/a	7	239275
240.696	0.0	mp/2	5	240696
242.283	0.0	mp/3	6	242283
243.773	0.0	dv/a	1	243773
245.328	0.0	mp/1	4	245328
246.749	0.0	dv/a	1	246749
248.216	0.0	rv/o	9	248216
249.602	0.0	dv/i	2	249602
250.964	0.0	mr/1	10	250964
252.375	0.0	mp/3	6	252375
253.711	0.0	mp/1	4	253711
255.185	0.0	dv/a	1	255185
256.521	0.0	mp/2	5	256521
257.976	0.0	rv/a	7	257976
259.469	0.0	mr/1	10	259469
260.924	0.0	mr/2	11	260924
262.476	0.0	rv/o	9	262476
