onset	duration	trial_type	value	sample
2.959	0.0	mp/2	5	2959
4.47	0.0	mr/2	11	4470
5.998	0.0	rv/a	7	5998
7.549	0.0	mr/3	12	7549
8.912	0.0	mp/1	4	8912
10.258	0.0	rv/i	8	10258
11.723	0.0	mp/2	5	11723
13.122	0.0	mr/1	10	13122
14.594	0.0	rv/o	9	14594
16.1	0.0	mp/3	6	16100
17.43	0.0	rv/o	9	17430
18.984	0.0	mp/1	4	18984
20.566	0.0	dv/o	3	20566
22.109	0.0	mr/3	12	22109
23.72	0.0	rv/i	8	23720
25.136	0.0	rv/a	7	25136
26.501	0.0	mp/3	6	26501
27.985	0.0	rv/o	9	27985
29.505	0.0	dv/a	1	29505
30.916	0.0	rv/o	9	30916
32.458	0.0	rv/i	8	32458
33.91	0.0	dv/o	3	33910
35.436	0.0	mr/1	10	35436
37.02	0.0	rv/i	8	37020
38.578	0.0	dv/a	1	38578
39.98	0.0	dv/i	2	39980
41.513	0.0	mr/3	12	41513
43.066	0.0	dv/i	2	43066
44.521	0.0	mr/2	11	44521
46.047	0.0	dv/o	3	46047
47.448	0.0	dv/i	2	47448
49.014	0.0	dv/a	1	49014
50.477	0.0	rv/a	7	50477
52.039	0.0	rv/i	8	52039
53.535	0.0	rv/i	8	53535
54.923	0.0	mp/3	6	54923
56.53	0.0	mr/3	12	56530
58.046	0.0	mp/1	4	58046
59.445	0.0	mp/2	5	59445
61.031	0.0	mp/3	6	61031
62.534	0.0	mp/3	6	62534
63.859	0.0	mp/1	4	63859
65.195	0.0	dv/i	2	65195
66.669	0.0	rv/a	7	66669
68.041	0.0	mr/3	12	68041
69.656	0.0	mp/1	4	69656
71.221	0.0	mp/1	4	71221
72.734	0.0	mp/1	4	72734
74.179	0.0	dv/a	1	74179
75.533	0.0	rv/a	7	75533
76.971	0.0	dv/o	3	76971
78.599	0.0	mr/3	12	78599
80.123	0.0	dv/a	1	80123
81.663	0.0	mp/2	5	81663
83.065	0.0	dv/a	1	83065
84.413	0.0	mr/3	12	84413
85.886	0.0	dv/o	3	85886
87.363	0.0	mr/2	11	87363
88.75	0.0	mr/2	11	88750
90.263	0.0	mr/1	10	90263
91.703	0.0	mr/3	12	91703
93.081	0.0	dv/i	2	93081
94.48	0.0	dv/o	3	94480
95.953	0.0	mp/3	6	95953
97.447	0.0	mr/3	12	97447
98.867	0.0	rv/a	7	98867
100.348	0.0	rv/o	9	100348
101.735	0.0	dv/i	2	101735
103.201	0.0	mr/2	11	103201
104.705	0.0	rv/a	7	104705
106.287	0.0	mr/1	10	106287
107.614	0.0	mp/2	5	107614
108.98	0.0	mp/3	6	108980
110.354	0.0	rv/i	8	110354
111.788	0.0	mp/2	5	111788
113.291	0.0	mr/3	12	113291
114.628	0.0	mr/3	12	114628
116.03	0.0	rv/o	9	116030
117.514	0.0	dv/a	1	117514
119.065	0.0	mr/1	10	119065
120.399	0.0	mp/2	5	120399
121.978	0.0	mr/2	11	121978
123.363	0.0	mp/1	4	123363
124.916	0.0	mp/3	6	124916
126.461	0.0	rv/a	7	126461
127.992	0.0	rv/o	9	127992
129.485	0.0	rv/a	7	129485
131.016	0.0	mr/3	12	131016
132.548	0.0	mr/3	12	132548
134.046	0.0	dv/i	2	134046
135.424	0.0	mp/3	6	135424
137.041	0.0	dv/o	3	137041
138.645	0.0	rv/o	9	138645
139.979	0.0	rv/o	9	139979
141.314	0.0	rv/a	7	141314
142.934	0.0	dv/i	2	142934
144.456	0.0	dv/i	2	144456
145.788	0.0	dv/i	2	145788
147.357	0.0	rv/a	7	147357
148.813	0.0	dv/o	3	148813
150.371	0.0	mp/1	4	150371
151.832	0.0	rv/a	7	151832
153.299	0.0	mr/3	12	153299
154.883	0.0	dv/a	1	154883
156.237	0.0	mr/1	10	156237
157.764	0.0	dv/o	3	157764
159.355	0.0	mr/1	10	159355
160.711	0.0	rv/a	7	160711
162.056	0.0	mp/3	6	162056
163.544	0.0	dv/a	1	163544
164.966	0.0	mp/2	5	164966
166.423	0.0	dv/i	2	166423
167.955	0.0	dv/a	1	167955
169.467	0.0	mp/1	4	169467
170.864	0.0	dv/i	2	170864
172.264	0.0	mp/2	5	172264
173.776	0.0	mp/1	4	173776
175.352	0.0	dv/o	3	175352
176.883	0.0	dv/a	1	176883
178.393	0.0	dv/o	3	178393
179.896	0.0	mr/1	10	179896
181.247	0.0	rv/o	9	181247
182.64	0.0	mr/1	10	182640
184.049	0.0	mr/3	12	184049
185.59	0.0	rv/a	7	185590
187.031	0.0	rv/i	8	187031
188.472	0.0	mr/2	11	188472
190.066	0.0	rv/o	9	190066
191.448	0.0	mp/3	6	191448
192.94	0.0	mp/2	5	192940
194.422	0.0	mr/2	11	194422
195.739	0.0	mp/1	4	195739
197.075	0.0	mp/2	5	197075
198.6	0.0	mp/2	5	198600
200.085	0.0	dv/i	2	200085
201.474	0.0	mr/2	11	201474
202.886	0.0	mp/3	6	202886
204.297	0.0	mr/2	11	204297
205.712	0.0	dv/a	1	205712
207.051	0.0	rv/i	8	207051
208.406	0.0	mr/2	11	208406
209.895	0.0	mr/3	12	209895
211.427	0.0	mp/2	5	211427
212.81	0.0	dv/o	3	212810
214.404	0.0	mp/2	5	214404
216.015	0.0	mp/1	4	216015
217.412	0.0	dv/a	1	217412
218.918	0.0	mr/3	12	218918
220.263	0.0	mp/3	6	220263
221.672	0.0	rv/o	9	221672
223.262	0.0	mr/3	12	223262
224.708	0.0	rv/i	8	224708
226.324	0.0	mr/3	12	226324
227.931	0.0	rv/o	9	227931
229.303	0.0	mp/3	6	229303
230.718	0.0	dv/i	2	230718
232.299	0.0	mr/1	10	232299
233.797	0.0	mp/2	5	233797
235.287	0.0	dv/a	1	235287
236.642	0.0	mp/2	5	236642
238.034	0.0	dv/i	2	238034
239.639	0.0	dv/o	3	239639
241.117	0.0	rv/a	7	241117
242.457	0.0	mp/1	4	242457
243.944	0.0	dv/a	1	243944
245.43	0.0	mr/2	11	245430
247.036	0.0	mr/1	10	247036
248.492	0.0	rv/a	7	248492
249.85	0.0	rv/o	9	249850
251.407	0.0	mp/2	5	251407
252.979	0.0	mp/1	4	252979
254.508	0.0	rv/i	8	254508
255.912	0.0	mp/1	4	255912
257.482	0.0	mr/1	10	257482
258.861	0.0	mp/2	5	258861
260.341	0.0	dv/i	2	260341
261.95	0.0	dv/o	3	261950
263.422	0.0	dv/a	1	263422
264.758	0.0	mr/2	11	264758
266.369	0.0	dv/i	2	266369
267.89	0.0	mp/1	4	267890
269.495	0.0	rv/i	8	269495
270.865	0.0	mr/3	12	270865
272.266	0.0	dv/o	3	272266
273.707	0.0	dv/a	1	273707
275.031	0.0	mp/1	4	275031
276.602	0.0	rv/i	8	276602
277.972	0.0	dv/a	1	277972
279.483	0.0	rv/a	7	279483
281.079	0.0	mp/3	6	281079
282.507	0.0	rv/a	7	282507
283.909	0.0	mr/3	12	283909
285.509	0.0	dv/i	2	285509
286.952	0.0	mr/2	11	286952
288.375	0.0	rv/o	9	288375
289.752	0.0	dv/o	3	289752
291.347	0.0	mr/1	10	291347
292.737	0.0	mp/2	5	292737
294.053	0.0	rv/i	8	294053
295.665	0.0	dv/a	1	295665
297.209	0.0	mr/3	12	297209
298.663	0.0	rv/i	8	298663
300.088	0.0	rv/o	9	300088
301.538	0.0	rv/i	8	301538
303.061	0.0	dv/a	1	303061
304.489	0.0	mp/3	6	304489
306.083	0.0	mr/3	12	306083
307.635	0.0	rv/o	9	307635
309.181	0.0	dv/i	2	309181
310.528	0.0	mp/3	6	310528
312.112	0.0	mr/1	10	312112
313.596	0.0	mp/2	5	313596
315.098	0.0	mp/1	4	315098
316.604	0.0	rv/i	8	316604
318.068	0.0	rv/a	7	318068
319.495	0.0	mp/1	4	319495
320.82	0.0	mp/3	6	320820
322.26	0.0	dv/o	3	322260
323.861	0.0	mr/3	12	323861
325.232	0.0	rv/o	9	325232
326.841	0.0	dv/i	2	326841
328.324	0.0	mr/3	12	328324
329.795	0.0	dv/a	1	329795
331.252	0.0	rv/a	7	331252
332.603	0.0	mr/1	10	332603
334.138	0.0	rv/o	9	334138
335.455	0.0	rv/a	7	335455
337.032	0.0	mp/1	4	337032
338.516	0.0	dv/o	3	338516
339.951	0.0	rv/a	7	339951
341.469	0.0	dv/o	3	341469
342.906	0.0	mp/3	6	342906
344.5	0.0	mp/2	5	344500
346.106	0.0	mr/2	11	346106
347.5	0.0	mr/1	10	347500
348.917	0.0	rv/i	8	348917
350.398	0.0	dv/a	1	350398
351.743	0.0	mr/1	10	351743
353.294	0.0	mr/1	10	353294
354.825	0.0	mr/2	11	354825
356.448	0.0	rv/o	9	356448
357.984	0.0	mp/3	6	357984
359.358	0.0	dv/a	1	359358
360.751	0.0	dv/a	1	360751
362.086	0.0	dv/i	2	362086
363.636	0.0	dv/i	2	363636
364.981	0.0	mr/2	11	364981
366.367	0.0	mp/3	6	366367
