onset	duration	trial_type	value	sample
1.591	0.0	mp/2	5	1591
3.219	0.0	rv/o	9	3219
4.696	0.0	mp/2	5	4696
6.135	0.0	dv/o	3	6135
7.639	0.0	dv/a	1	7639
8.99	0.0	dv/i	2	8990
10.337	0.0	dv/a	1	10337
11.948	0.0	mp/2	5	11948
13.293	0.0	rv/i	8	13293
14.839	0.0	mp/1	4	14839
16.464	0.0	rv/o	9	16464
18.066	0.0	rv/o	9	18066
19.506	0.0	dv/o	3	19506
20.904	0.0	mr/1	10	20904
22.231	0.0	dv/o	3	22231
23.727	0.0	mp/3	6	23727
25.171	0.0	mr/2	11	25171
100.103	0.0	dv/o	3	100103
101.563	0.0	mp/3	6	101563
103.032	0.0	dv/i	2	103032
104.55	0.0	rv/o	9	104550
106.015	0.0	mr/3	12	106015
107.576	0.0	mp/1	4	107576
108.986	0.0	mr/1	10	108986
110.379	0.0	mr/1	10	110379
111.742	0.0	dv/i	2	111742
113.11	0.0	mr/3	12	113110
114.587	0.0	dv/o	3	114587
116.058	0.0	mp/3	6	116058
117.483	0.0	rv/a	7	117483
118.861	0.0	mr/2	11	118861
120.236	0.0	mp/1	4	120236
121.762	0.0	mp/2	5	121762
123.196	0.0	mr/1	10	123196
124.706	0.0	mp/3	6	124706
126.235	0.0	mr/1	10	126235
127.632	0.0	mr/3	12	127632
129.099	0.0	dv/a	1	129099
130.532	0.0	mr/1	10	130532
132.042	0.0	rv/o	9	132042
133.542	0.0	dv/i	2	133542
135.052	0.0	mr/3	12	135052
136.493	0.0	dv/a	1	136493
137.837	0.0	dv/o	3	137837
139.429	0.0	rv/i	8	139429
140.787	0.0	mp/3	6	140787
142.401	0.0	rv/a	7	142401
143.811	0.0	rv/a	7	143811
145.165	0.0	mr/1	10	145165
146.783	0.0	mr/1	10	146783
148.267	0.0	mr/2	11	148267
149.799	0.0	rv/i	8	149799
151.241	0.0	mr/1	10	151241
152.722	0.0	mr/1	10	152722
154.33	0.0	mp/2	5	154330
155.82	0.0	rv/o	9	155820
157.323	0.0	mp/2	5	157323
158.868	0.0	mr/2	11	158868
160.407	0.0	dv/i	2	160407
