onset	duration	trial_type	value	sample
9.215	0.0	mp/3	6	9215
10.742	0.0	rv/o	9	10742
12.333	0.0	mr/1	10	12333
13.765	0.0	dv/a	1	13765
15.177	0.0	rv/i	8	15177
16.73	0.0	mp/1	4	16730
18.076	0.0	mp/2	5	18076
19.419	0.0	rv/o	9	19419
20.774	0.0	mr/2	11	20774
22.236	0.0	rv/a	7	22236
23.668	0.0	dv/i	2	23668
25.158	0.0	dv/o	3	25158
26.703	0.0	mr/3	12	26703
28.232	0.0	mr/1	10	28232
29.806	0.0	dv/i	2	29806
31.178	0.0	mr/3	12	31178
32.518	0.0	mp/2	5	32518
33.945	0.0	mr/3	12	33945
35.386	0.0	dv/a	1	35386
36.809	0.0	rv/a	7	36809
38.233	0.0	mr/1	10	38233
39.606	0.0	rv/i	8	39606
40.949	0.0	dv/i	2	40949
42.418	0.0	mr/1	10	42418
43.906	0.0	rv/i	8	43906
45.267	0.0	dv/i	2	45267
46.615	0.0	mr/2	11	46615
47.968	0.0	mr/2	11	47968
49.361	0.0	dv/a	1	49361
50.757	0.0	mp/2	5	50757
52.332	0.0	rv/i	8	52332
53.847	0.0	mp/1	4	53847
55.317	0.0	mp/3	6	55317
56.899	0.0	rv/i	8	56899
58.269	0.0	mp/1	4	58269
59.886	0.0	mp/2	5	59886
61.279	0.0	dv/o	3	61279
62.824	0.0	mr/3	12	62824
64.241	0.0	dv/i	2	64241
65.836	0.0	mp/1	4	65836
67.352	0.0	mr/3	12	67352
68.929	0.0	mp/3	6	68929
70.354	0.0	rv/a	7	70354
71.841	0.0	mp/1	4	71841
73.347	0.0	mp/3	6	73347
74.847	0.0	dv/a	1	74847
76.285	0.0	mp/2	5	76285
77.882	0.0	dv/a	1	77882
79.342	0.0	dv/i	2	79342
80.764	0.0	dv/o	3	80764
82.144	0.0	dv/i	2	82144
83.675	0.0	dv/i	2	83675
85.037	0.0	dv/i	2	85037
86.548	0.0	rv/a	7	86548
88.016	0.0	mr/3	12	88016
89.491	0.0	mp/1	4	89491
90.868	0.0	mr/3	12	90868
92.257	0.0	mr/2	11	92257
93.729	0.0	mr/1	10	93729
95.071	0.0	rv/a	7	95071
96.628	0.0	dv/a	1	96628
98.061	0.0	dv/i	2	98061
99.389	0.0	mp/1	4	99389
100.843	0.0	dv/i	2	100843
102.331	0.0	mp/1	4	102331
103.767	0.0	rv/a	7	103767
105.161	0.0	dv/o	3	105161
106.536	0.0	rv/o	9	106536
107.889	0.0	dv/i	2	107889
109.289	0.0	rv/a	7	109289
110.733	0.0	rv/o	9	110733
112.308	0.0	mr/1	10	112308
113.645	0.0	dv/o	3	113645
115.051	0.0	rv/o	9	115051
116.524	0.0	rv/o	9	116524
117.907	0.0	mr/2	11	117907
119.522	0.0	mp/2	5	119522
120.966	0.0	mr/1	10	120966
