onset	duration	trial_type	value	sample
6.294	0.0	mp/1	4	6294
7.858	0.0	mp/2	5	7858
9.387	0.0	rv/a	7	9387
10.75	0.0	rv/i	8	10750
12.11	0.0	rv/i	8	12110
13.657	0.0	mr/1	10	13657
15.249	0.0	mr/1	10	15249
16.696	0.0	dv/i	2	16696
18.234	0.0	dv/o	3	18234
19.795	0.0	rv/a	7	19795
21.158	0.0	mp/1	4	21158
22.503	0.0	dv/a	1	22503
23.897	0.0	mr/2	11	23897
25.364	0.0	mp/2	5	25364
26.986	0.0	rv/i	8	26986
28.395	0.0	rv/o	9	28395
29.982	0.0	mr/3	12	29982
31.517	0.0	dv/i	2	31517
33.047	0.0	rv/o	9	33047
34.603	0.0	mp/3	6	34603
36.112	0.0	rv/o	9	36112
37.552	0.0	rv/i	8	37552
38.905	0.0	rv/o	9	38905
40.459	0.0	dv/o	3	40459
41.793	0.0	mp/2	5	41793
43.165	0.0	dv/o	3	43165
44.722	0.0	mp/1	4	44722
46.325	0.0	rv/o	9	46325
47.869	0.0	dv/o	3	47869
49.319	0.0	mr/1	10	49319
50.664	0.0	mr/1	10	50664
51.99	0.0	mp/2	5	51990
53.361	0.0	rv/a	7	53361
54.957	0.0	rv/a	7	54957
56.381	0.0	dv/o	3	56381
57.973	0.0	rv/i	8	57973
59.44	0.0	mr/2	11	59440
60.819	0.0	dv/i	2	60819
62.249	0.0	mp/2	5	62249
63.847	0.0	dv/i	2	63847
65.453	0.0	mp/2	5	65453
66.922	0.0	mr/1	10	66922
68.48	0.0	mr/1	10	68480
70.051	0.0	dv/a	1	70051
71.604	0.0	mp/1	4	71604
73.146	0.0	rv/a	7	73146
74.749	0.0	dv/a	1	74749
76.142	0.0	rv/a	7	76142
77.491	0.0	mr/3	12	77491
78.834	0.0	mp/2	5	78834
80.285	0.0	dv/o	3	80285
81.814	0.0	mr/3	12	81814
83.243	0.0	mr/1	10	83243
84.771	0.0	mp/2	5	84771
86.115	0.0	rv/i	8	86115
87.487	0.0	mr/2	11	87487
88.968	0.0	dv/a	1	88968
90.326	0.0	mp/1	4	90326
91.763	0.0	mr/3	12	91763
93.362	0.0	mr/2	11	93362
94.68	0.0	rv/o	9	94680
96.024	0.0	rv/a	7	96024
97.354	0.0	rv/i	8	97354
98.937	0.0	mr/2	11	98937
100.314	0.0	dv/o	3	100314
101.655	0.0	dv/a	1	101655
103.162	0.0	mp/3	6	103162
104.593	0.0	mr/2	11	104593
106.075	0.0	rv/o	9	106075
107.509	0.0	rv/o	9	107509
109.122	0.0	dv/a	1	109122
110.662	0.0	mr/3	12	110662
112.02	0.0	mr/2	11	112020
113.589	0.0	mr/1	10	113589
114.981	0.0	mp/1	4	114981
116.371	0.0	mp/3	6	116371
117.738	0.0	rv/i	8	117738
119.192	0.0	mp/1	4	119192
120.689	0.0	mp/1	4	120689
122.084	0.0	dv/i	2	122084
123.634	0.0	mp/1	4	123634
125.003	0.0	mp/3	6	125003
126.357	0.0	dv/i	2	126357
127.723	0.0	rv/i	8	127723
129.326	0.0	mr/1	10	129326
130.937	0.0	rv/o	9	130937
132.407	0.0	mr/3	12	132407
133.84	0.0	dv/a	1	133840
135.237	0.0	mr/1	10	135237
136.624	0.0	rv/a	7	136624
137.953	0.0	mr/3	12	137953
139.301	0.0	mp/1	4	139301
140.662	0.0	mp/1	4	140662
147.296	0.0	mp/2	5	147296
148.891	0.0	dv/a	1	148891
150.383	0.0	mp/3	6	150383
151.805	0.0	dv/i	2	151805
153.337	0.0	dv/a	1	153337
154.899	0.0	rv/i	8	154899
156.288	0.0	mr/3	12	156288
157.625	0.0	dv/i	2	157625
159.2	0.0	mr/3	12	159200
160.658	0.0	rv/a	7	160658
161.98	0.0	dv/o	3	161980
163.477	0.0	mr/2	11	163477
164.88	0.0	dv/a	1	164880
166.467	0.0	rv/i	8	166467
168.022	0.0	mr/2	11	168022
169.43	0.0	mr/1	10	169430
170.82	0.0	mr/2	11	170820
172.339	0.0	rv/a	7	172339
173.911	0.0	dv/o	3	173911
175.469	0.0	mr/2	11	175469
177.043	0.0	rv/o	9	177043
178.456	0.0	rv/i	8	178456
193.099	0.0	dv/i	2	193099
194.476	0.0	rv/a	7	194476
196.073	0.0	rv/a	7	196073
197.533	0.0	mp/2	5	197533
199.122	0.0	mp/3	6	199122
200.72	0.0	mr/1	10	200720
202.319	0.0	mp/3	6	202319
203.844	0.0	mp/2	5	203844
205.18	0.0	dv/i	2	205180
231.091	0.0	mr/2	11	231091
232.619	0.0	mr/3	12	232619
234.128	0.0	dv/a	1	234128
235.609	0.0	mp/2	5	235609
237.114	0.0	dv/o	3	237114
238.602	0.0	dv/o	3	238602
240.038	0.0	rv/a	7	240038
241.568	0.0	dv/a	1	241568
243.036	0.0	dv/o	3	243036
244.625	0.0	dv/o	3	244625
245.973	0.0	rv/a	7	245973
247.397	0.0	mr/3	12	247397
248.807	0.0	mp/1	4	248807
250.225	0.0	mr/3	12	250225
251.603	0.0	dv/a	1	251603
253.137	0.0	mp/3	6	253137
254.662	0.0	mp/1	4	254662
256.005	0.0	mr/1	10	256005
257.602	0.0	mr/2	11	257602
259.096	0.0	dv/i	2	259096
260.557	0.0	mp/1	4	260557
262.113	0.0	mp/2	5	262113
263.677	0.0	mp/2	5	263677
265.233	0.0	mr/2	11	265233
