percent_of_common_vertices	label_name	quantity_of_common_vertices	quantity_of_all_vertices_in_label	vertices_MNE_indices_dict
63.1578947368421	S_circular_insula_inf-rh	24	38	{119045, 159494, 1421, 97806, 56094, 115364, 163242, 159534, 30127, 88630, 163254, 45112, 114874, 10559, 91584, 139072, 56516, 53576, 95309, 52565, 70364, 21867, 126964, 58998}
57.407407407407405	S_circular_insula_sup-rh	31	54	{45569, 37382, 96137, 153097, 23948, 152978, 60696, 117145, 83226, 117162, 30763, 133933, 124461, 60339, 30773, 124469, 83129, 153019, 67900, 20037, 60361, 153036, 83164, 133982, 83175, 67561, 140650, 153321, 153078, 27004, 153085}
56.25	G_temp_sup-G_T_transv-rh	9	16	{101536, 34369, 88650, 8011, 159658, 128397, 144126, 105370, 159646}
33.92857142857143	G_and_S_subcentral-rh	19	56	{153484, 83476, 45597, 109984, 83489, 50856, 153130, 83499, 60459, 153517, 124591, 83249, 83506, 83513, 153530, 153544, 134100, 134111, 2162}
33.33333333333333	G_front_inf-Opercular-rh	15	45	{117155, 30756, 109961, 140729, 30797, 83418, 37459, 45588, 30804, 4790, 3029, 134073, 10714, 93021, 37470}
20.0	G_Ins_lg_and_S_cent_ins-rh	3	15	{79082, 1509, 139006}
20.98765432098765	Lat_Fis-post-rh	17	81	{104774, 142951, 115850, 35595, 130411, 88782, 43762, 28085, 113077, 54230, 74776, 42229, 118010, 28091, 142908, 69373, 28095}
19.318181818181817	S_temporal_sup-rh	34	176	{137600, 163464, 40840, 53643, 14480, 63249, 63251, 59285, 63257, 102174, 49696, 70435, 22947, 12076, 163385, 107841, 149058, 163396, 75848, 149065, 99786, 10198, 13401, 10205, 71906, 26350, 2545, 103029, 139381, 18935, 1528, 79865, 63227, 132607}
11.11111111111111	G_temp_sup-Plan_polar-rh	2	18	{22882, 99644}
10.9375	G_temp_sup-Lateral-rh	7	64	{22872, 10181, 163370, 32078, 17587, 57912, 114941}
8.450704225352112	G_temporal_middle-rh	6	71	{75880, 75889, 107890, 36083, 105428, 6390}
