onset	duration	trial_type	value	sample
5.849	0.0	dv/o	3	5849
7.349	0.0	rv/o	9	7349
8.639	0.0	dv/i	2	8639
11.699	0.0	mp/3	6	11699
13.289	0.0	mp/2	5	13289
14.699	0.0	dv/a	1	14699
16.049	0.0	dv/a	1	16049
17.439	0.0	dv/i	2	17439
20.309	0.0	rv/o	9	20309
21.749	0.0	mp/2	5	21749
23.349	0.0	mp/2	5	23349
24.919	0.0	rv/a	7	24919
26.479	0.0	mr/1	10	26479
27.968	0.0	mr/1	10	27968
29.368	0.0	mp/1	4	29368
30.858	0.0	rv/i	8	30858
32.388	0.0	mp/2	5	32388
36.858	0.0	dv/o	3	36858
41.278	0.0	mr/3	12	41278
42.638	0.0	rv/o	9	42638
43.948	0.0	mr/2	11	43948
45.238	0.0	mr/2	11	45238
46.498	0.0	rv/a	7	46498
48.018	0.0	mp/1	4	48018
50.898	0.0	mr/1	10	50898
52.288	0.0	mp/1	4	52288
55.118	0.0	mr/1	10	55118
56.708	0.0	dv/i	2	56708
58.268	0.0	mp/3	6	58268
61.178	0.0	mr/3	12	61178
62.668	0.0	mp/1	4	62668
64.068	0.0	rv/i	8	64068
65.458	0.0	mr/1	10	65458
69.658	0.0	mr/2	11	69658
70.928	0.0	mr/2	11	70928
72.288	0.0	mp/2	5	72288
73.878	0.0	rv/i	8	73878
75.328	0.0	mp/1	4	75328
76.918	0.0	dv/a	1	76918
78.438	0.0	mr/3	12	78438
79.698	0.0	rv/o	9	79698
80.938	0.0	dv/o	3	80938
85.208	0.0	mp/3	6	85208
86.567	0.0	mp/3	6	86567
88.137	0.0	mp/2	5	88137
89.747	0.0	dv/i	2	89747
91.037	0.0	mr/1	10	91037
92.277	0.0	mp/2	5	92277
93.627	0.0	rv/i	8	93627
95.047	0.0	rv/o	9	95047
98.007	0.0	mp/1	4	98007
101.917	0.0	mp/1	4	101917
104.507	0.0	rv/i	8	104507
108.877	0.0	mr/3	12	108877
110.167	0.0	mp/2	5	110167
111.517	0.0	mr/3	12	111517
112.747	0.0	mr/2	11	112747
114.007	0.0	mp/1	4	114007
115.417	0.0	dv/o	3	115417
116.687	0.0	rv/i	8	116687
118.157	0.0	dv/i	2	118157
119.617	0.0	dv/o	3	119617
121.017	0.0	mr/1	10	121017
122.437	0.0	mr/1	10	122437
123.827	0.0	dv/o	3	123827
125.347	0.0	dv/o	3	125347
126.717	0.0	rv/i	8	126717
128.217	0.0	mr/3	12	128217
129.647	0.0	mr/1	10	129647
132.717	0.0	rv/o	9	132717
134.047	0.0	mp/3	6	134047
138.027	0.0	mp/1	4	138027
139.367	0.0	rv/i	8	139367
140.867	0.0	mr/2	11	140867
143.717	0.0	dv/i	2	143717
144.977	0.0	mr/3	12	144977
147.887	0.0	mp/3	6	147887
149.176	0.0	mp/1	4	149176
150.756	0.0	dv/i	2	150756
152.356	0.0	dv/o	3	152356
155.256	0.0	mr/1	10	155256
156.726	0.0	dv/a	1	156726
158.256	0.0	mp/3	6	158256
159.566	0.0	dv/i	2	159566
162.696	0.0	mp/2	5	162696
164.086	0.0	mp/1	4	164086
165.456	0.0	rv/a	7	165456
167.006	0.0	mr/3	12	167006
168.586	0.0	mp/2	5	168586
170.076	0.0	mr/1	10	170076
172.906	0.0	mr/2	11	172906
174.486	0.0	mr/3	12	174486
177.336	0.0	mp/3	6	177336
178.676	0.0	rv/a	7	178676
179.926	0.0	mr/3	12	179926
181.296	0.0	mp/3	6	181296
184.296	0.0	rv/i	8	184296
185.706	0.0	rv/a	7	185706
187.196	0.0	dv/i	2	187196
188.706	0.0	rv/a	7	188706
190.026	0.0	rv/o	9	190026
191.386	0.0	mp/1	4	191386
192.766	0.0	rv/a	7	192766
194.256	0.0	dv/i	2	194256
195.586	0.0	rv/i	8	195586
196.906	0.0	rv/a	7	196906
198.376	0.0	rv/i	8	198376
199.936	0.0	mp/2	5	199936
201.406	0.0	dv/o	3	201406
202.666	0.0	mp/2	5	202666
205.566	0.0	dv/o	3	205566
206.936	0.0	mp/1	4	206936
208.456	0.0	dv/a	1	208456
209.756	0.0	mp/1	4	209756
212.435	0.0	mp/3	6	212435
215.405	0.0	rv/i	8	215405
216.645	0.0	dv/a	1	216645
219.285	0.0	mp/2	5	219285
222.245	0.0	mr/1	10	222245
223.715	0.0	mr/3	12	223715
225.235	0.0	rv/i	8	225235
226.735	0.0	rv/a	7	226735
228.135	0.0	dv/o	3	228135
229.535	0.0	dv/a	1	229535
230.895	0.0	dv/o	3	230895
232.145	0.0	dv/i	2	232145
234.925	0.0	mr/2	11	234925
236.205	0.0	rv/i	8	236205
237.645	0.0	dv/i	2	237645
239.005	0.0	mr/1	10	239005
240.485	0.0	mr/3	12	240485
241.815	0.0	dv/a	1	241815
243.285	0.0	dv/i	2	243285
244.615	0.0	rv/o	9	244615
245.945	0.0	mp/1	4	245945
247.285	0.0	rv/o	9	247285
248.705	0.0	mp/1	4	248705
250.315	0.0	dv/i	2	250315
251.625	0.0	rv/o	9	251625
253.085	0.0	dv/a	1	253085
254.615	0.0	rv/a	7	254615
257.625	0.0	mp/2	5	257625
259.085	0.0	rv/i	8	259085
260.585	0.0	mp/1	4	260585
264.795	0.0	mp/3	6	264795
266.285	0.0	mr/2	11	266285
270.274	0.0	dv/i	2	270274
271.684	0.0	rv/o	9	271684
272.974	0.0	mp/2	5	272974
274.204	0.0	dv/o	3	274204
275.514	0.0	rv/o	9	275514
276.944	0.0	mp/1	4	276944
278.204	0.0	rv/o	9	278204
279.594	0.0	rv/a	7	279594
281.164	0.0	rv/i	8	281164
283.934	0.0	mr/3	12	283934
285.534	0.0	mp/1	4	285534
286.844	0.0	dv/o	3	286844
288.114	0.0	mr/3	12	288114
289.634	0.0	rv/o	9	289634
290.914	0.0	mr/1	10	290914
292.384	0.0	mr/1	10	292384
293.674	0.0	dv/o	3	293674
295.244	0.0	mr/2	11	295244
297.964	0.0	mr/3	12	297964
299.454	0.0	mp/3	6	299454
300.694	0.0	mr/1	10	300694
302.014	0.0	dv/i	2	302014
303.384	0.0	dv/a	1	303384
304.984	0.0	mp/2	5	304984
306.394	0.0	mr/1	10	306394
307.894	0.0	mr/2	11	307894
309.174	0.0	rv/i	8	309174
310.774	0.0	mp/1	4	310774
313.384	0.0	mr/3	12	313384
314.784	0.0	rv/a	7	314784
316.054	0.0	dv/o	3	316054
317.524	0.0	rv/i	8	317524
318.964	0.0	mp/2	5	318964
321.814	0.0	rv/i	8	321814
323.154	0.0	mp/3	6	323154
328.634	0.0	rv/i	8	328634
330.204	0.0	mr/1	10	330204
331.714	0.0	mr/3	12	331714
333.093	0.0	rv/a	7	333093
336.053	0.0	mr/3	12	336053
337.513	0.0	mp/1	4	337513
338.803	0.0	dv/a	1	338803
340.033	0.0	dv/o	3	340033
341.653	0.0	mp/3	6	341653
343.203	0.0	rv/a	7	343203
344.683	0.0	mp/2	5	344683
346.023	0.0	dv/a	1	346023
347.513	0.0	mp/2	5	347513
348.893	0.0	mr/3	12	348893
351.813	0.0	rv/o	9	351813
354.693	0.0	mr/3	12	354693
356.303	0.0	dv/a	1	356303
357.833	0.0	mp/2	5	357833
359.143	0.0	mp/2	5	359143
360.443	0.0	mp/1	4	360443
363.323	0.0	mr/3	12	363323
364.863	0.0	rv/a	7	364863
366.343	0.0	rv/o	9	366343
367.603	0.0	mp/3	6	367603
370.423	0.0	dv/i	2	370423
373.493	0.0	dv/o	3	373493
375.023	0.0	rv/o	9	375023
376.403	0.0	rv/o	9	376403
377.893	0.0	dv/a	1	377893
380.713	0.0	mp/3	6	380713
382.253	0.0	mr/2	11	382253
383.843	0.0	rv/o	9	383843
385.373	0.0	dv/a	1	385373
386.883	0.0	rv/a	7	386883
388.353	0.0	rv/a	7	388353
389.763	0.0	mp/1	4	389763
391.303	0.0	mr/2	11	391303
392.813	0.0	mr/2	11	392813
395.712	0.0	mp/1	4	395712
396.952	0.0	dv/a	1	396952
398.472	0.0	mr/2	11	398472
399.792	0.0	mr/3	12	399792
401.092	0.0	mr/3	12	401092
402.712	0.0	mp/2	5	402712
405.282	0.0	mp/3	6	405282
408.172	0.0	dv/i	2	408172
409.492	0.0	mp/2	5	409492
410.982	0.0	mp/3	6	410982
415.222	0.0	rv/a	7	415222
416.682	0.0	mp/3	6	416682
419.752	0.0	mr/2	11	419752
421.192	0.0	mp/2	5	421192
422.482	0.0	rv/o	9	422482
425.022	0.0	mp/3	6	425022
426.592	0.0	dv/i	2	426592
428.042	0.0	rv/i	8	428042
429.562	0.0	rv/i	8	429562
431.042	0.0	mr/3	12	431042
432.542	0.0	mr/1	10	432542
433.942	0.0	rv/a	7	433942
435.222	0.0	rv/i	8	435222
436.792	0.0	mr/2	11	436792
438.402	0.0	dv/o	3	438402
439.892	0.0	mr/1	10	439892
441.242	0.0	mr/2	11	441242
443.852	0.0	mr/3	12	443852
445.092	0.0	mr/1	10	445092
446.522	0.0	mr/2	11	446522
448.052	0.0	mr/1	10	448052
449.562	0.0	dv/i	2	449562
453.942	0.0	mp/3	6	453942
455.412	0.0	rv/i	8	455412
458.511	0.0	dv/a	1	458511
460.051	0.0	rv/o	9	460051
461.341	0.0	mr/1	10	461341
462.951	0.0	rv/a	7	462951
464.391	0.0	rv/i	8	464391
465.911	0.0	mp/2	5	465911
467.221	0.0	mp/2	5	467221
468.661	0.0	mp/2	5	468661
471.351	0.0	dv/a	1	471351
472.591	0.0	mr/1	10	472591
473.991	0.0	rv/a	7	473991
475.611	0.0	mp/1	4	475611
476.851	0.0	dv/o	3	476851
478.221	0.0	mp/1	4	478221
479.801	0.0	rv/o	9	479801
481.291	0.0	dv/a	1	481291
482.751	0.0	rv/a	7	482751
484.091	0.0	dv/a	1	484091
486.951	0.0	dv/a	1	486951
489.761	0.0	mr/1	10	489761
491.181	0.0	rv/o	9	491181
494.071	0.0	mp/3	6	494071
495.411	0.0	mr/1	10	495411
496.851	0.0	mr/1	10	496851
499.541	0.0	rv/a	7	499541
501.051	0.0	mp/2	5	501051
502.391	0.0	mr/3	12	502391
505.191	0.0	rv/a	7	505191
506.711	0.0	mp/3	6	506711
509.811	0.0	dv/a	1	509811
512.471	0.0	mp/3	6	512471
513.701	0.0	mp/1	4	513701
515.091	0.0	mr/2	11	515091
516.451	0.0	mr/3	12	516451
517.9	0.0	mr/2	11	517900
520.54	0.0	dv/a	1	520540
522.0	0.0	mr/3	12	522000
523.25	0.0	dv/o	3	523250
524.72	0.0	rv/o	9	524720
526.17	0.0	dv/i	2	526170
527.5	0.0	dv/o	3	527500
528.87	0.0	dv/o	3	528870
530.12	0.0	rv/i	8	530120
532.84	0.0	rv/o	9	532840
534.29	0.0	dv/i	2	534290
535.85	0.0	dv/o	3	535850
537.13	0.0	dv/o	3	537130
538.68	0.0	mr/2	11	538680
540.07	0.0	mr/1	10	540070
541.53	0.0	rv/o	9	541530
545.87	0.0	dv/i	2	545870
547.41	0.0	dv/a	1	547410
548.71	0.0	mr/2	11	548710
550.18	0.0	dv/i	2	550180
551.58	0.0	mr/2	11	551580
553.16	0.0	rv/a	7	553160
554.66	0.0	mp/3	6	554660
556.0	0.0	mp/3	6	556000
557.23	0.0	dv/a	1	557230
558.78	0.0	dv/o	3	558780
560.15	0.0	dv/o	3	560150
561.62	0.0	dv/a	1	561620
562.97	0.0	mr/2	11	562970
564.35	0.0	dv/i	2	564350
565.76	0.0	rv/i	8	565760
567.07	0.0	mr/2	11	567070
570.97	0.0	mr/2	11	570970
572.48	0.0	mr/2	11	572480
576.8	0.0	mp/2	5	576800
581.349	0.0	rv/o	9	581349
584.469	0.0	rv/o	9	584469
585.799	0.0	rv/o	9	585799
587.049	0.0	dv/i	2	587049
588.289	0.0	mr/1	10	588289
589.539	0.0	rv/i	8	589539
590.919	0.0	mr/2	11	590919
592.179	0.0	mr/2	11	592179
593.559	0.0	mp/3	6	593559
594.809	0.0	mp/1	4	594809
596.409	0.0	mr/3	12	596409
597.839	0.0	dv/i	2	597839
599.429	0.0	mr/1	10	599429
600.669	0.0	dv/a	1	600669
602.049	0.0	mp/2	5	602049
603.449	0.0	rv/a	7	603449
604.839	0.0	dv/o	3	604839
607.789	0.0	rv/a	7	607789
609.139	0.0	dv/i	2	609139
611.999	0.0	dv/i	2	611999
613.589	0.0	dv/a	1	613589
614.969	0.0	mp/3	6	614969
616.349	0.0	dv/i	2	616349
617.889	0.0	rv/i	8	617889
620.689	0.0	rv/a	7	620689
622.019	0.0	mp/3	6	622019
623.279	0.0	dv/a	1	623279
624.679	0.0	rv/i	8	624679
625.909	0.0	rv/o	9	625909
627.349	0.0	rv/a	7	627349
628.609	0.0	rv/a	7	628609
631.729	0.0	mp/1	4	631729
633.159	0.0	mp/3	6	633159
634.759	0.0	dv/o	3	634759
637.679	0.0	mr/3	12	637679
639.259	0.0	mp/1	4	639259
640.669	0.0	dv/a	1	640669
641.898	0.0	dv/o	3	641898
